cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,onwind,584885877.8411429,863965890.1238669,2364601109.5585227,2551057111.074295,2565924354.527004,2553241019.966764,2033427654.4583724,584891763.0873731,686489602.3739337,1488186929.1836224,2346214480.5862026,2490380997.8499227,2505128375.1575856,2400323738.906073,584889489.9758583,666244714.1414285,913707009.1444997,1894364936.6508162,2234254959.7110395,2390166702.2138143,2573092139.611211,584891544.0393507,666046151.4984342,797836362.3527769,1185678832.2671034,1821839404.3472514,2124368438.6136591,2537329850.3273745,584892014.7012019,644491553.3023698,717041721.7046661,913659042.0217588,1303366572.0856454,1737453466.8227086,2520919910.4946737,584890962.4649318,585131301.3733373,694034571.9774641,821632031.2189355,1097769558.184739,1359235792.0481768,2514546089.7758436
generators,residential rural solar thermal,290.19978476831255,93.31140969889164,402.775942798222,34.815067527707924,15.687133102296421,3.773224113543615,1.9754580431134594,192.96888279864132,999.6481608961979,27.444385743267905,55.99317850212307,21.099315108267266,18.582300711723303,4.6153317636460125,250.7593201217426,283.78490531789373,170.7847803852025,46.90467420007985,46.32053695064493,15.980584236699826,14.101572290770198,238.96448462851288,94.54013082971353,109.0404690309979,66.55329945845571,78.13600272254867,45.76813582727995,75.97066990492071,198.26440362584194,107.09480448014013,80.50210654854007,436.74869560093737,43.17518641225187,17.014339605244153,70.32666608230973,209.56228663774397,66.00393398858733,99.23629211949874,273.5989799039594,63.92601779485696,356.98344242192485,33.374318189099505
generators,residential urban decentral solar thermal,105.85520525466018,34.38308134321066,179.62981562232133,15.511380582469279,6.872876940968964,1.3009015576397074,0.8043898847301677,70.08541049378105,383.68735089677705,12.1569995594601,27.177487787619143,9.755619870554387,8.189974624856474,2.0714914519430554,91.65556363390381,102.23973705728348,65.14943071033255,23.152683492491995,23.887349597985754,8.197799545929103,7.763434554226649,83.76757810236894,35.339322037369215,40.40711071472104,28.915503275852373,38.5759131047349,24.965902533513315,40.8363849421337,69.64920338479526,37.673551595770014,30.405218535613237,187.8159444082281,21.617753783070903,8.775200456464214,38.33442534470873,76.2887915318247,23.643324085425363,37.056995595665015,128.91850691351087,28.743054534187248,171.1055988880893,18.582510033747546
generators,ror,140199167.82996684,140171161.4143671,140009884.20740628,140112443.25633085,140140052.70448297,140177033.61500838,140192464.5215431,140199253.15707567,140196264.85371757,140053785.59252372,140098501.22946745,140140562.49878538,140150691.6468404,140160779.6023655,140199201.97187757,140198784.9471922,140142892.6875655,140102445.96449557,140111462.1946004,140131465.9436783,140105538.07230905,140199246.23542535,140199169.91113153,140161074.85705766,140111956.82433593,140121909.3188545,140121873.8726739,140135013.6745205,140199265.51780227,140199187.0497346,140198664.02588752,140134855.67158973,140119479.88917083,140132736.62649763,140127580.53012633,140199236.0960385,140199191.35183078,140199054.4856278,140154751.522156,140136115.55344275,140111727.81307602,140113970.27359566
generators,services rural solar thermal,281.79889122079805,89.57948830936385,381.54530906997604,34.05624575294268,15.713815887955118,3.816173329089787,1.9891149577865295,187.71483760185828,957.9627163908034,27.447227858875003,54.12407416703128,20.593366373337933,18.806587836791827,4.6168422673343725,242.8385498323701,274.6259602852789,169.54063497857516,45.724541326336634,45.32254652497902,15.504909508025005,13.697998998556102,230.93176959704203,90.50624397111045,108.55174484687396,66.63911727366005,76.47495714332496,45.58743301397376,73.08002763137699,193.89235918272632,104.10344440287862,79.90517072122337,430.4947863808197,43.23972319850745,16.913535783367532,68.10570816024448,203.8746715145787,64.2721672050656,97.98518533382335,271.1093072109557,65.32484980507756,350.4077302860378,32.503221725734925
generators,services urban decentral solar thermal,125.78099975055795,44.810360483331976,246.56290715345756,21.486889498589267,9.076615591801017,1.8148133078036632,0.9670262970817602,84.66896070883516,476.8084970869855,15.878489955472393,35.502584363479656,12.566681546364315,9.92895938386819,2.3842021442419314,105.96797380074568,134.70332945469517,88.6069845848809,29.200033308597213,28.527730201269975,10.003322399325082,9.491662244586216,92.42174865243996,49.336466402324774,53.34546815575524,33.64385123416617,54.062910385930735,30.754752544051016,45.41067793371997,85.40439425144284,47.43724656173217,38.69396601717283,252.888814245528,28.52587093268965,10.977547531342468,50.477699962902264,92.24378633103527,29.674709033373,45.83307028811869,152.27896420223655,39.66830038640536,202.80430092649414,23.591203835785368
generators,solar,71973873.03902595,399879115.08257246,1401459423.9364612,2468216234.3334475,2531466696.6672635,2533910630.4432263,2533485870.6778774,71975514.65110171,351615641.24865377,783487004.9155608,1484377821.2711675,1979755301.079813,2086867145.220541,2083265865.3438702,71978732.25651497,275832328.15854406,512970714.86697865,938157492.062539,1509858036.9978783,1788662856.1194484,1939274013.356624,71979171.08453937,272797393.66097564,483184346.50199693,648634282.0684057,1009916517.78335,1404131131.7223103,1941700073.8243937,71971402.1011227,246536715.68383652,411448738.9330406,529560508.54409504,781174965.9719068,1030968743.1985335,1970138816.900959,71976367.7597309,144420209.7094972,380382069.0705931,488723294.99949515,625689875.1918616,809790703.7293998,1983846082.786468
generators,solar rooftop,7585023.504339288,15888487.085238026,129771134.45394464,291776174.9249457,423825901.1982852,423831263.9017645,438020732.56581753,7584034.6332554,7661877.34343384,82551344.79492892,230001644.68605876,411249047.8782696,612351900.9198923,690762240.8120798,7584491.058742932,7591530.518948249,66915384.22634867,195254479.25247967,362944540.9708095,572628310.1251174,948134111.2062362,7584087.3655307405,7583745.204104718,66532667.358113036,174744405.66466004,315556603.93279594,529600628.8206839,935398129.1900947,7583784.391934393,7583258.587362748,59118159.15788278,154437608.43258736,279958831.3800036,506148038.17012656,919150310.7517593,7584189.5390387075,7582050.293423079,47980162.259121664,150660534.81952712,247160640.30002052,458093158.5591092,880219285.3925413
generators,uranium,3459936692.443835,3397008655.331157,3362631265.4842,3405586547.438842,3456632993.068509,3170280306.9367204,2878250669.9088025,3459936384.7592106,3439536960.164653,3300510803.454723,3381672186.83936,3428757749.5268903,3311278882.721239,2865429644.614271,3459936698.742459,3455060189.6514626,3361408383.3867154,3349515540.9140177,3406582393.8564568,3287750823.5142894,2846630725.4907303,3459938088.7661986,3455319628.9186153,3391770251.948041,3348666359.510403,3361396837.5452247,3241414316.155657,2837545813.263174,3459936183.4168787,3458616130.789042,3424689862.1426167,3374754401.613771,3373612745.9398394,3245654545.9554205,2830336116.591985,3459936478.770948,3461955271.182148,3440432249.5121565,3396475597.5324063,3388337805.4071355,3245134020.329957,2828947463.5510654
generators,urban central solar thermal,568.1880146952683,175244.68644356678,2098425.7685575206,2063379.2984386329,2108579.287777635,2099883.753389864,2081461.276026579,378.35538914908324,4196.852834725673,135348.87690098572,661585.1316763352,639988.1236771651,658640.5025609556,693904.1737365373,477.05677836821326,740.1927843723716,162329.45780324945,314609.8136642379,175120.52286048478,147048.17987598898,143034.60773224843,419.6657098259878,254.10216118330516,133374.06510696578,133262.478596262,141682.82164193442,133784.91884443146,770846.21815185,380.25844292425205,211.86572819634043,247.37809744020183,70811.42132452606,66838.44865405108,91961.29996109285,1024735.5570847134,415.7933131875745,122.25593125084724,207.8477917154168,2393.962054469494,59088.828732193266,59743.61973914723,1182840.2341312866
