cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
CCGT,48.49106282495776,69.27271152978666,200.3658358092123,202.55323389144974,235.47220022903883,177.73787390517467,176.24817825805223,48.491131338141784,54.744183823203706,123.02716690541635,178.41019313481368,232.91090154907974,164.388645508667,176.54987130176647,48.49113742921779,47.90197508323647,75.53715946875415,117.81089786078738,150.17954999333145,135.20965342516573,205.84243064874622,48.49113931573828,48.418297116851235,66.89857066812093,85.94713449605193,115.59854348853331,108.65255520783143,203.27713121552563,48.49104248965595,47.14350817178957,57.83783980233304,71.14626661118022,87.91770206470501,95.01981567170462,203.78985851482796,48.491116013306545,44.21300563457383,54.36118378316422,65.15286009018394,73.40097564858621,78.58347611441427,203.03932211477965
DC,35.05713273849217,122.87659723038843,14.573928888382413,20.055722209318454,18.149648099761816,-6.245091735466766,1.235498614696774,35.19032648462343,80.72167907684296,911.3611394530333,-19.97429224253001,-0.9777660528649167,7.173046061651521,-0.9797005303110142,35.189472135532604,0.3037332065129213,146.91047883670973,-103.5987081312113,-10.59477135555077,-2.560487402756293,0.5243215122246317,35.222550322190486,170.4216673436693,101.76544729019388,1258.0856563434752,-614.9865582564537,-20.94789749571569,8.525812887878743,35.14379158277486,-262.8629817399842,78.90382187172993,125.74866923121769,-304.13495820010365,-198.57382738460274,15.452219250210597,35.18650186812957,-13.960491911955561,72.1172410624078,84.65899287957178,155.9113574726752,-459.44742676615897,22.250967177675676
H2 Electrolysis,44.07479623639977,25.55781777509617,39.86871889540636,41.33703442291251,39.159665134393386,16.497630378269136,21.731583022064306,44.02905858223811,29.50504990699662,26.02767763581736,37.564840141205515,37.47803386734272,37.08149146470949,28.170100974233545,44.08840282715424,38.037615084858494,15.33733220831881,32.58030300138791,35.86176761745852,35.687467612239594,34.959317411131316,44.09557354750968,37.68632251765832,22.951489245570734,22.851333054941346,31.707631829467925,35.29951211151093,34.97808771311108,43.850635948828284,39.447340155629135,25.278741934198028,17.168303973375796,26.46314661189645,31.581733557201822,35.07703410874649,44.04842172900417,35.04142157194624,27.82320245742371,19.447368806243173,24.114468353694413,26.635861879828887,35.19742899877593
H2 Fuel Cell,47.15905088621667,65.72812754908762,106.2925732858848,109.61632042377855,100.1029448500954,93.1781476146552,101.1244567430684,47.15068871087488,54.891431235289105,88.48643891930504,100.04737946033899,106.56211116709136,98.32374704764041,124.1966425669041,47.16988762253569,50.03289995476003,65.75735228037493,79.26618913937118,87.06713083088924,100.23352912619849,203.18903636914948,47.17993424259502,49.228044014362325,60.972483472218364,67.35020053210259,77.40957861911217,80.74043571221515,206.73243235843472,47.14882379361735,48.95498498544383,54.479223316441484,62.819535009825984,67.62199983749072,75.1418348871836,210.49906050405474,47.15767632346119,46.093578736395656,52.19988876477518,59.10445857970011,62.68009414380825,67.65045892611201,209.88509653095645
OCGT,95.5527973062127,90.74720111346797,316.19451943571266,356.2439820089283,468.57199352843963,438.5360588576161,348.67702446604903,95.6183898035072,167.83168419802578,177.36761535394223,268.01478229816945,504.86450654574753,408.5024171274832,373.6971752622269,95.58195467256334,479.8003830167815,101.60606054234013,181.04666690030035,374.90455636542106,353.18755365431247,427.57509955619486,95.60432848207378,479.3018116245645,129.68728394485825,121.45983236248881,262.09609994493377,271.5906574034557,365.74698792381906,95.61694190206039,416.0320865596694,131.266263228506,132.08591983690377,151.6434155751544,210.73068418753735,289.31226223365917,95.60603987858337,290.44342067695845,127.21473157563457,147.92438372710942,133.82479077742312,143.90095960243815,279.2896898509392
battery charger,46.03040256257688,54.72541293960049,50.25610213710745,48.23984466871383,42.825146173576016,25.924628399544563,28.82119237920275,46.02413624456358,49.77587777750682,45.98729814985597,48.71343893634308,43.210711219848065,40.89207621096529,34.16525582664044,46.03514560726908,45.18540010501835,43.63832675836638,43.647375617392775,42.09189988245835,41.70911794643431,42.38049825547199,46.042345176206986,45.0723013423507,40.887826003926065,39.831133346250624,40.05749328946658,39.73180373842395,42.99022306855615,46.02664081962219,44.38573142967637,36.96065113696896,42.132163917463956,37.38427034652538,38.78079510895563,42.974339687958484,46.031362750669885,41.246846101568266,41.937719455759876,35.86831493570149,34.97973374044103,36.337820296738386,43.08129188617868
battery discharger,46.72012475676891,58.4134071027233,100.18974118552194,90.02093449360446,74.0501167620758,46.018952921367486,46.152118964224634,46.7096829619723,51.39214408280013,96.0970829850432,89.57478500570313,76.05272683223266,66.44224473593653,56.90493989129547,46.72415278973257,48.223053464617664,100.03279956382833,84.67071632869494,74.47175734220104,69.14992276664077,67.83198398423347,46.74747534014653,48.07348089339472,95.68209474040869,81.90593568190772,72.05395855592559,67.38298182258879,68.46396900399091,46.70438714029925,47.35066041610971,102.96724833322355,80.64341141533652,69.97076348596563,67.1892598914361,68.66401785992932,46.72027658535433,43.93289440348299,70.22203829680724,78.87024155838677,65.97957593975032,65.17783088501345,68.90959596853837
