cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2045,669289405008.4536,521890757255.6777,407952553670.15656,319656347279.8596,251061701389.22928,197643016366.94226,155943514777.73657,123316022397.15652,97728236699.7448,77616043658.48053
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,2050,709512176078.3162,526403343881.51605,391701017789.62756,292309622259.58466,218755849039.38934,164165117091.26657,123533257859.68465,93206569157.48798,70509427470.26791,53476738807.70286
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2020,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173,696519694520.2173
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2025,657001137829.5195,625114039363.38,595066172625.507,566734952842.1344,540007044353.81903,514777582888.979,490949469825.4073,468432731177.49207,447143934838.82776,427005660309.1298
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2030,632073535134.0194,572207925763.5048,518520449943.272,470322071260.4851,427006232399.5981,388038320431.1352,352946560645.1107,321314134162.4673,292772345464.7436,266994691993.37167
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2035,622971333438.6001,536596030890.4731,462876877105.46906,399861593253.2296,345913867666.41003,299659863004.4975,259944171283.75812,225793480156.1137,196386545298.0582,171029329676.4544
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2040,626639882038.346,513559250217.3415,421710676794.02155,346955309290.8169,285990262131.41864,236173981089.03018,195389277274.89453,161935653439.7495,134444463379.21652,111811911725.15688
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2045,626775070199.6385,488739420596.89154,382038754164.2088,299351264201.7147,235113860065.79218,185088415461.01254,146037732990.4986,115482791175.72725,91520382602.19547,72685748270.65712
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,2050,708197857447.361,525428220767.9358,390975420734.6333,291768140385.84607,218350620069.8006,163861013399.7153,123304421670.79074,93033910907.91682,70378813990.60307,53377677119.25351
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2020,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966,696519890895.8966
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2025,656105171101.9988,624261557764.9067,594254667955.8088,565962084072.4591,539270625013.7153,514075569513.68134,490279951365.6513,467793919283.49255,446534154938.9758,426423343411.8351
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2030,627869239015.5923,568401831333.8264,515071462770.3486,467193680102.3396,424165960586.8553,385457247322.22284,350598903651.9765,319176883206.7401,290824942880.70844,265218751877.55844
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2035,609091142366.5916,524640335600.081,452563690683.91156,390952426781.5117,338206690273.246,292983253774.09174,254152452513.07556,220762660150.18878,192010930199.2659,167218689206.49335
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2040,605343740718.8735,496106115359.4463,407378984180.1986,335164152184.4992,276270981228.7535,228147689399.94388,188749039747.04898,156432325836.18823,129875414434.50026,108012022280.59451
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2045,597115037864.4435,465611463363.7312,363960048835.04047,285185467573.9447,223987883581.46463,176329725703.78418,139126986075.6969,110017954612.68452,87189486820.96101,69246138518.26404
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,2050,708690589437.1427,525793789923.4817,391247443722.2609,291971139441.62604,218502538540.55798,163975020470.38214,123390211302.0355,93098639688.94429,70427780381.40955,53414814889.12999
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,cumulative cost,25518951986996.906,21918645533850.97,18990046014322.03,16591574233385.602,14614034862335.443,12972743820436.662,11601665037402.36,10449022374042.75,9473999610975.111,8644246739306.941
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,cumulative cost,22653282217476.086,19490048182456.105,16919682028161.615,14816643668445.512,13084208836928.521,11647446647096.434,10447992566817.4,9440138916425.182,8587896722996.478,7862777036115.692
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,cumulative cost,20973658565869.246,18084328487819.566,15737303284681.973,13817280411337.66,12235543774498.734,10923456609058.69,9827624502815.498,8906282483959.008,8126583417925.287,7462553132872.732
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,cumulative cost,19920798457342.254,17213914449220.496,15014318086603.96,13213960814449.305,11729783211065.762,10497578000490.71,9467433590055.895,8600334606287.471,7865613355144.705,7239030007574.752
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,cumulative cost,19339098673119.562,16735953122378.336,14619802441299.518,12886845541507.062,11457332119560.236,10269642584173.105,9275896350575.867,8438677964128.085,7728584629192.258,7122380138972.527
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,cumulative cost,18990647856170.094,16450890719158.402,14385562608671.934,12693516629417.578,11297066777011.309,10136204706984.316,9164311922262.076,8344965041908.573,7649543824565.323,7055431490936.293
