cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,oil,621950.7338158372,863232.6840580746,381728.0833639294,91926.82368448013,14432.258310818976,3.824278396796765e-05,2.5592592610210532e-05,638261.183270982,725773.5047941945,604658.0007878342,301002.93151419354,110094.07351463809,42369.21392727749,0.00011786302915899996,635238.5673386853,774287.7995943256,650401.6674151942,395936.74309590267,222221.84798633258,108566.38526900535,0.00013943625172267108,593748.7420531326,849368.815163176,688696.5760646006,452141.6024642415,293491.473153988,154458.31432939356,0.0005287868049182317,636544.9026467435,746247.9619583461,555745.339805158,586624.9880974117,377389.1907155537,234167.48877761737,0.0007297461431558153,658471.5196373372,781114.0051046506,551657.5859312426,481853.27763530135,344607.2705366205,248379.13949596183,0.0003736187894284483
generators,onwind,185204.95306183302,301511.57471737923,873257.0325098449,941629.9254232766,939284.6862901862,934931.1153034453,770223.058558837,185205.74198762068,221757.61172593242,545909.2217201276,854377.7122545049,902194.9813771234,905183.4081081864,867190.6063284012,185205.79815853934,214536.27984930202,320329.1545886986,672168.169278663,797957.6462637192,855307.9178310522,931314.738455319,185205.87278648186,214487.83015394708,268896.16988109413,412172.01372835465,638693.4610877382,743835.6409333656,915588.8247687604,185205.81969462277,206782.48584094632,234112.4185299998,312317.13298925984,447255.77725450974,596580.6683485253,908825.0948825364,185205.63553446473,185233.58600437624,225622.65757486998,273465.95580858464,370193.13165751845,460920.4148905518,905837.0329412991
generators,residential rural solar thermal,0.8823735912632502,0.2812082725943147,1.3838139530824154,0.1295339635258735,0.06102224461436243,0.015629600362385896,0.007482045387410652,0.5819882543457034,3.0619734281987134,0.08611944986518266,0.20217437071954497,0.07323751213463345,0.07532184282780671,0.017740327831966624,0.7628150012474102,0.8939791834946302,0.5603978602384777,0.1751216556242262,0.18525811666610253,0.06341261850636386,0.05975193645598812,0.7306657057446103,0.2969762010142284,0.32345357570727906,0.24657265105356288,0.3385014119068499,0.1756725016005702,0.3253861235969133,0.6250929925671563,0.3331699954321932,0.25118140753443996,1.4519817489596323,0.1642696387322539,0.06024562030443859,0.3023757602343873,0.636299940313661,0.21045662247899213,0.30020196970396185,0.8207782801993592,0.22990575327606863,1.3698373141035718,0.11443204194578668
generators,residential urban decentral solar thermal,0.2278045757299716,0.07377774281827389,0.414476978759498,0.03737572256578438,0.0168468610654637,0.0036311472445080015,0.0020216033302135573,0.1500934270996751,0.8110473170146615,0.026368881288299444,0.06307064017411394,0.021684166507652092,0.020576222465017134,0.004995259048742928,0.19705542145059612,0.22608427007916668,0.1453379993770492,0.05490765959593967,0.05670244882402466,0.018993725940662412,0.01855043447870913,0.17974846667175332,0.07885551725895786,0.08370458463652156,0.07114430407727886,0.10324661598510124,0.0562700649049255,0.10289749947192581,0.15398614788473725,0.0829793610344846,0.0654379251245476,0.4214770016143467,0.053389294155771636,0.019585424049277322,0.094330864092226,0.16434362467950542,0.05323599315271001,0.07814610069321268,0.2659314209758006,0.0670065308510595,0.4070665244686892,0.03970523836574245
generators,ror,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448,34503.91670356448
generators,services rural solar thermal,0.8681545669399127,0.2735876302058908,1.3210578688279166,0.1267539547101577,0.06051939317459042,0.015556337599612112,0.007446657757487291,0.5731020579215942,2.9717977212176323,0.08583230399560128,0.19606151787399878,0.0716947254587054,0.07524542988561586,0.017678680862239303,0.7493426164105876,0.8776183458497662,0.5551846771221849,0.17166046615883346,0.18167655627960375,0.06190209821865876,0.058538715184543684,0.7155460383005348,0.28977591519233614,0.32198162297489974,0.24487345998157903,0.3338670613628133,0.17392171074051538,0.3186603830599294,0.6174911072600815,0.3274410152435748,0.2491485350927058,1.4295354889723115,0.16324591069763245,0.059695653520022963,0.2949333230242354,0.6266648696775613,0.20695713984885608,0.2981502056003781,0.8130118327471094,0.23032892369475388,1.335799579114842,0.11147948072719356
generators,services urban decentral solar thermal,0.25604842262119804,0.08827204911654121,0.5155203431097442,0.045615716039543175,0.019660357789049735,0.004265987258499049,0.0022286943067834895,0.170599804177521,0.9271544091214159,0.031690720983218144,0.0736627025771197,0.02581739048535759,0.02317588608789895,0.0054424465817951555,0.21736550244647168,0.2701659243740183,0.17398087040230542,0.0627427008583865,0.06368688752887648,0.02177528488574023,0.020872255104806274,0.19250527531015948,0.09639816296083167,0.10254777637926066,0.07738740234788583,0.12444521878310154,0.0642631455329883,0.10949513286229223,0.17621505680972468,0.09528758794118691,0.07653509524001405,0.5129529282435857,0.06152898851086814,0.02261355879813925,0.11102398939913696,0.18693673207354708,0.06065580174556225,0.08941879287315149,0.2972663451573897,0.08097343265090742,0.4445682356981719,0.04631546636374516
generators,solar,53263.63254647738,326770.4426944138,1225179.031866593,2114371.474456474,2157669.324417721,2156447.2180603086,2152115.4075744827,53263.44657076541,273078.27380785067,709492.1501147577,1301058.907414937,1685378.901705974,1766820.8556669983,1762240.8561235357,53266.547740332135,208999.94281941216,436420.97157013055,841177.3665891136,1298416.692430529,1511333.8469483147,1642518.2045530423,53266.240563083964,206641.73916342,397674.73228874174,576436.0733231156,892810.9479324404,1197712.3379407618,1640044.9687839414,53260.360082947416,186196.43847593025,324219.41873978445,452583.5928589573,693585.804317842,901385.0630679799,1663274.5924100839,53264.31739782145,107180.56086994089,296581.67434907565,404970.7175542191,551605.1080973344,715208.8073231991,1674626.82115526
generators,solar rooftop,5734.749438058065,11760.721050730443,104884.20184573784,245842.7345527164,359647.51719434216,359640.19122213154,370992.55639758107,5733.1863510117755,5810.789509809509,65377.191661617566,191571.22762238735,359740.6869247354,555054.67274216,626979.8925551722,5733.959417036279,5743.2226979376155,52013.619899919984,164085.11353653442,317591.69419955864,521791.12623420014,915467.0765118218,5733.3489917160605,5733.689960256103,51538.227265790905,146037.2317531984,275397.6856377267,482864.4769979473,909839.8902445403,5732.943804945621,5733.164033440698,45424.91762628532,123432.23865662399,239476.71964203147,465766.2603966355,899437.6433631558,5733.463781107404,5732.004953224486,36809.77399959255,120520.85682601553,204397.47753256964,419480.74214653444,863184.7146090731
generators,uranium,496446.14153231983,419308.13929000625,471297.82616423414,690252.6514887698,1986236.762782079,4449057.444938045,353305.8783516422,484259.75530057505,546317.4252955032,393241.4961247196,401084.15347361856,402128.05043242173,441584.4646620169,396994.19503068825,544384.1910633867,589887.0250528904,1364549.0883436988,443950.2448825747,397440.96145213355,379168.70962306566,410999.2675531225,434779.5334740132,448332.5943674631,438822.88960278634,3682584.6079148203,406164.0502582463,378349.3092418864,381000.5229859103,417159.3123849622,591678.6066217388,562890.9018170963,725230.5736344612,393424.6136080662,391514.386001638,336923.6739823437,489294.0796357542,534605.5182372887,975007.1533905211,606675.9117703992,395672.9276427056,490983.4485434456,446681.39929696626
