cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,AL0 0,residential rural solar thermal,0.0365775691435344,0.012489965166291903,0.0555937712661829,0.004701973953783122,0.002156915646735623,0.00051823303374496,0.00025180424576833765,0.02442725822256628,0.11278093903425594,0.0036996587540679697,0.007445742168085372,0.0025503500053275434,0.0026539821275314095,0.0005659660693896147,0.030872438026380754,0.03227408549884271,0.023958620578964456,0.006630705934817106,0.006397871722887716,0.0020035049131302773,0.0017963384325633597,0.026835697136277557,0.010639780600172705,0.013123881615523325,0.010031069406939413,0.01193036526279271,0.005943018814890571,0.011136320492049344,0.02503143882525475,0.011727667580776265,0.009385069117233302,0.061022518116270734,0.006452079435172879,0.0022559873256255427,0.010043639842705168,0.02671666669889,0.0075066453133587705,0.0108287908516425,0.033791065279899064,0.00922552642516002,0.05009077426464657,0.0039963319804946235
generators,AL0 0,services rural solar thermal,0.03568028728923481,0.012267232989108586,0.0546073220320512,0.004672411356682842,0.0021583070252304396,0.0005201999013726342,0.0002669029601397356,0.02386372501865334,0.12088319839570137,0.003792864120184127,0.007338459907177731,0.002503721221465396,0.0027455208152484495,0.0005708201719192871,0.03008175934490114,0.032359864955350724,0.02393943069873787,0.006494852473726104,0.006487815985384499,0.002020510491164356,0.001800214078364178,0.026237938495663266,0.010720546930297713,0.0134881005575299,0.01016619012173749,0.01197123867899323,0.006019015599621429,0.01095484100886991,0.024480239767247294,0.012001784608752635,0.009910196607345345,0.06132870056275624,0.00671394144680743,0.0023131630698531307,0.009923925301543474,0.026128403816308668,0.0078057934300224075,0.01184696233400494,0.035932432114859206,0.00940374752064887,0.04927734054669367,0.0038395599070618373
generators,AL0 0,solar,0.04407340762745572,4539.858862599152,13351.84242160695,16445.915694908595,16878.667549529346,16878.668318489457,16878.66843358201,0.029619909519194253,4482.490103055517,8389.11067844158,15112.206969897397,17459.365656538575,17459.562594942283,17459.37215137552,0.036891672692940275,4387.120923364026,4833.176140897929,9020.70014715094,14099.133094079305,16009.699458789131,17855.791769337404,0.031617467248630765,4379.866948420865,4605.2587157101,5091.706738291103,11461.562683302795,14184.851551715681,19871.957584412507,0.02974710069392932,4028.081291252428,4437.607534563953,4885.3567335608905,8963.61719524275,12222.21163665177,20315.503495457215,0.03221850109151037,0.12297690709576588,4610.995986121431,4923.361276267455,4923.752990310055,9182.454853461695,19802.730014952853
generators,AL0 0,solar rooftop,0.030419720670289162,0.034336259210482306,985.6334795733948,2614.140077475955,3396.666594471938,3396.6672409685852,3396.669031274197,0.020356712286429605,0.4248661470797933,370.3939851956579,2240.9775281229504,3409.5941771764233,4785.052013817151,4959.110656490688,0.025400441696946694,0.08281374928197657,152.25396430317963,1735.7005734601125,3122.2485788352624,4714.380857238272,5670.368347505063,0.021929257425826763,0.0311935232832967,213.78328148145553,804.4342829034941,2471.877909813368,4646.988399225004,5662.427539731805,0.020401716931990103,0.02980379576870516,406.33001445099364,857.3492598284422,1718.7729554232742,4353.968320886342,5663.564112190224,0.0222839377811823,0.02431859678291987,348.7395667775154,796.9646005839489,1497.7836911329114,4132.974246565776,5665.76022248809
generators,AL0 0,urban central solar thermal,0.17107122210844788,148.63045416699055,149.12605884718505,148.65832926782417,148.6374803525448,148.63165761512704,0.0007380501111010885,0.11149471443632777,1.8113495531443544,121.79694149313964,121.85031815690581,121.80887269347241,121.80524356566885,121.79911569552993,0.1413525796234239,0.22414213218827697,142.05620246168291,220.8753493242454,220.90016040972162,220.88266200095728,220.88195182762354,0.12425435663087873,0.06913274801112787,115.731082335625,115.82314374541608,116.46797588788554,115.76350326284798,115.77215698284927,0.1143689571728374,0.05771101953632372,0.0799253630637408,5.0815227629146245,1.179646695008947,44.697886605327156,44.754800464797896,0.12500447253563896,0.028444827973668575,0.0483201215612531,0.717632410465045,1.0560077966785095,0.9604894649355156,0.023038178171528086
generators,AT0 0,onwind,10.947642123232281,10.945776975787458,10.951482204474377,8.011687133361193,8.011568497550288,2.437243707416433,7.0147905158625e-05,10.94675765773557,10.956555993880507,10.945200351495833,8.012656219473913,8.01158950886667,2.437510435790817,0.0002252489881649036,10.947205583981123,10.948940835800318,10.947321584943985,8.011921496835157,8.012127267724914,2.437551087413397,0.00032432900371791946,10.946854520588523,10.946537071667759,10.946414857268442,8.012287481738639,8.012108452504265,2.438053853422676,0.0006318638543684327,10.946775099301071,10.946229103110522,10.946408883402075,8.014477807983848,8.011894933557807,2.4374468316909454,0.0012048199476770677,10.946918800940992,10.946010514892818,10.945734311963108,8.016133523543202,8.012239277097295,2.4427613535145825,0.0003926249519248045
generators,AT0 0,residential rural solar thermal,0.024221977843342495,0.008549060283023073,0.04132415020504597,0.0039143958274913135,0.0017913863298452326,0.00043647223615087243,0.000222055403910827,0.01596445062270496,0.09063090493030379,0.0023551610492886415,0.0059569560292651695,0.0021363503700790607,0.0021572128709411455,0.0005321282105575413,0.021024442206394604,0.026037447230039316,0.016524896784982125,0.0049825468934741116,0.005381107486849598,0.001841346864201995,0.0016690331398606679,0.020539656332359116,0.00836920865863784,0.009564740993651828,0.007191595500626989,0.009485560456636625,0.004878627379245347,0.009043835244059066,0.017076090555889486,0.00995759933614516,0.007410296908915312,0.041757121780433594,0.004285306623682069,0.0016813550115337551,0.008996299532276101,0.017419680177440076,0.006199433254031331,0.008691851073002955,0.02211128344187822,0.006318334343872522,0.03882153983354363,0.0033067528915973043
generators,AT0 0,ror,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705,4478.505031122705
generators,AT0 0,services rural solar thermal,0.023885858292299975,0.008104884604355173,0.039892300789005415,0.0037536209710542024,0.001799639873550295,0.0004422650435745657,0.00021965862128749377,0.015766285500680596,0.08624686403652622,0.002298500128697696,0.005647827092677967,0.0021432202192930394,0.00221565264988039,0.0005376220330766298,0.02072401521790619,0.02523231288873685,0.016095055513063998,0.00489691435053086,0.005237208999008099,0.0018199055037654058,0.001657690859869406,0.020229645109343587,0.008093115285287117,0.009412066303203473,0.0069813686713419195,0.009533480517701254,0.004887092999680815,0.008756875969213233,0.01691038150263302,0.009654791828711987,0.007206993219184358,0.04100648523744721,0.004342328330489728,0.001673777438562975,0.008496443379621738,0.017201039429960107,0.0059651422560668705,0.008438090703112959,0.022172732088545335,0.006380844180382508,0.038379501676491214,0.003176105160282971
generators,AT0 0,solar,27.98410812900143,17347.90149931519,18943.794299020912,18943.79509270998,18943.79509240601,18943.79508673951,18926.208631095033,27.976843470214835,28.477857942871776,18943.786448131348,18943.79508144154,18943.79508153789,18943.795081554486,18926.204786641316,27.980503630006336,28.032855869056533,18943.66083259446,18943.795032493486,18943.795057243726,18943.795050531233,18943.795044233164,27.977809864456667,27.98782517365535,18943.69332345055,18943.795006860644,18943.79504078108,18943.79507527491,18943.79503288211,27.9768954278451,27.97756562499999,1005.8925523480656,18943.2099927064,18943.794997243956,18943.79503121245,18943.79498720129,27.978142510809853,27.973979971576167,28.010562923588118,18943.124011619715,18943.794977315225,18943.79430987949,18943.794864856427
