,name,Generation,p_nom_opt,load_corr,week_corr,cool_corr,week_cool,heat_corr,week_heat,country,carrier,total_gen,fraction,latitude,FullName,avgCDD,avgHDD,year_CF,solarfrac,solarcf
0,FRsolar,92798358.66439743,341444.1183407558,0.2031279795148121,-0.6038315684706889,0.3676894828575854,0.5445352940607553,-0.3389119847535703,-0.6479194357400289,FR,solar,136620042.04884136,0.6792441084978017,46.227638,France,0.6768334966712878,-7.819790993137541,0.09307602067070392,0.6792441084978017,0.09307602067070392
1,FRwind,35171809.26013999,46643.29639932202,0.1550517759760209,0.5718772110522884,-0.3262056130933206,-0.4707075338167549,0.3463213693002018,0.5109999843293783,FR,wind,136620042.04884136,0.2574425299003066,46.227638,France,0.6768334966712878,-7.819790993137541,0.2582394703509263,0.6792441084978017,0.09307602067070392
2,FRror,8649874.124303931,5780.848516865661,-0.1266569892647144,-0.1619979094196217,-0.1226239576626558,-0.1714438575340326,-0.0014151176411611,-0.0126781466940028,FR,ror,136620042.04884136,0.06331336160189162,46.227638,France,0.6768334966712878,-7.819790993137541,0.5124309433754767,0.6792441084978017,0.09307602067070392
3,DEsolar,65655209.33988697,229445.0861608755,0.4889893846422745,-0.1126887500681236,0.4493034232099334,0.6084857662582137,-0.4105522438746608,-0.7716721686376802,DE,solar,150226334.95850506,0.43704194313215455,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.09799582596888946,0.43704194313215455,0.09799582596888946
4,DEwind,78121369.34823263,72112.09259172322,-0.1298321232744078,0.1211847649074334,-0.2913985975073647,-0.5124174048774444,0.2999564634175086,0.4706202303877286,DE,wind,150226334.95850506,0.5200244642180148,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.3710042608786969,0.43704194313215455,0.09799582596888946
5,DEror,6449756.270385465,2997.0294099999983,-0.1173381574957228,-0.4212144274305237,-0.054646318060925,-0.0709509150524527,0.2287041748594481,0.234294224803999,DE,ror,150226334.95850506,0.04293359264983061,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.7370033250834762,0.43704194313215455,0.09799582596888946
6,GBsolar,47704447.22233502,155493.80651591037,0.3419760491146945,-0.6261306970704953,0.3537696996249028,0.4733346102155344,-0.4135779483326864,-0.6152318869069872,GB,solar,159731975.3950631,0.2986530849840691,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.1050661748256329,0.2986530849840691,0.1050661748256329
7,GBwind,111133569.1631433,108182.8320331506,-0.0019636733283162,0.207266921381158,-0.1662190614143049,-0.4085992304922253,0.254230651714076,0.4258810282358021,GB,wind,159731975.3950631,0.6957502960085358,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.35180666635316554,0.2986530849840691,0.1050661748256329
8,GBror,893959.0095847754,685.2,0.1149194274562803,0.4517261900995765,-0.1575634822202166,-0.279621739752977,0.7342032313274515,0.7752308024813072,GB,ror,159731975.3950631,0.005596619007395093,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.44680435748425384,0.2986530849840691,0.1050661748256329
9,ITsolar,109883800.9953033,357261.2895471789,0.5380132630973363,0.3562098288668854,0.4038281291020374,0.6573377514483835,-0.3099815014167351,-0.7016418241251479,IT,solar,124829321.22779892,0.8802723584051074,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.10533309876566456,0.8802723584051074,0.10533309876566456
10,ITwind,5159365.051044052,15767.393744743267,-0.1016684525593181,-0.1241296791178719,-0.3316549739345999,-0.5340651275375242,0.4008951921573806,0.6370121590326627,IT,wind,124829321.22779892,0.041331355488417765,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.11206074180697878,0.8802723584051074,0.10533309876566456
11,ITror,9786155.18145158,6563.709999999999,-0.0857202933253677,-0.2282644761020087,-0.1480633610868444,-0.1709539545376681,-0.2179618854414964,-0.2392150910463623,IT,ror,124829321.22779892,0.07839628610647485,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.5105988849821871,0.8802723584051074,0.10533309876566456
12,ESsolar,66251406.53698071,148097.00543446996,0.4669265214722004,0.6623422524887409,0.4289300778478264,0.6881217129498665,-0.3185441665338143,-0.7150402584780623,ES,solar,66487571.51622026,0.9964479830763268,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.15320254308024986,0.9964479830763268,0.15320254308024986
13,ESwind,216118.28251538365,381.1881241541079,-0.1819508480289565,-0.5491250126164045,-0.3152293166041106,-0.5677478893844803,0.3761504904611535,0.6280679923981486,ES,wind,66487571.51622026,0.0032505064869553795,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.1941642610580166,0.9964479830763268,0.15320254308024986
14,ESror,20046.696724164583,16.4,-0.2466099639189241,-0.4255972397582305,-0.464526831681365,-0.51388174420787,0.3350041530254136,0.3186489444391147,ES,ror,66487571.51622026,0.0003015104367178459,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.4186162864217463,0.9964479830763268,0.15320254308024986
15,PLsolar,19129357.30850339,68513.60634656127,0.3964921982494606,0.1253152689891648,0.482451180235317,0.6570245885249223,-0.4375116157971661,-0.8252956278302895,PL,solar,39329744.38680789,0.4863839724043521,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.09561822990383133,0.4863839724043521,0.09561822990383133
16,PLwind,20171121.57795788,26477.56394015425,-0.0540447334069006,-0.0478623726173818,-0.2950861745570728,-0.5033268990682253,0.3140075045265699,0.515877087788852,PL,wind,39329744.38680789,0.5128719215557308,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.26089705096093024,0.4863839724043521,0.09561822990383133
