name,p_nom_opt
AL0 0 coal-2030,0.027090925347394334
AT0 0 coal-2030,1751.6382328298778
BA0 0 coal-2030,0.007531267542212689
BE0 0 coal-2030,5091.318891026107
BG0 0 coal-2030,0.04400546752889048
CH0 0 coal-2030,0.009945543094988256
CZ0 0 coal-2030,0.016883047622756366
DE0 0 coal-2030,0.3013571659400338
DK0 0 coal-2030,0.0014052494883927972
DK1 0 coal-2030,0.0010203880707659358
EE2 0 coal-2030,0.0032225159266324444
ES0 0 coal-2030,0.00332237678682993
ES3 0 coal-2030,0.0012384362301363
FI1 0 coal-2030,0.00247045770004887
FR0 0 coal-2030,0.010049729788013828
GB4 0 coal-2030,0.0010643851770162339
GB5 0 coal-2030,0.002496511123521718
GR0 0 coal-2030,0.005250032696943024
HR0 0 coal-2030,0.0064385899606201336
HU0 0 coal-2030,0.02815525465687935
IE4 0 coal-2030,0.019185549935867626
IT0 0 coal-2030,44251.647194174664
IT6 0 coal-2030,0.003446204317806803
LT2 0 coal-2030,0.0035137579037255156
LU0 0 coal-2030,2343.7031141381563
LV2 0 coal-2030,0.003114597573260821
ME0 0 coal-2030,0.014598216382719494
MK0 0 coal-2030,0.022921877956891643
NL0 0 coal-2030,0.004066905609536017
NO1 0 coal-2030,0.0011001334639956614
PL0 0 coal-2030,0.004496311049890089
PT0 0 coal-2030,0.003346603869908221
RO0 0 coal-2030,8471.93959687534
RS0 0 coal-2030,3437.0415452815055
SE1 0 coal-2030,0.001219532718510779
SI0 0 coal-2030,0.004335833480071624
SK0 0 coal-2030,0.004203977138190935
BA0 0 coal-2025,4039.471285383615
BE0 0 coal-2025,5916.677206100835
HR0 0 coal-2025,201.94844369270876
IT0 0 coal-2025,30720.228986479167
ME0 0 coal-2025,196.45458059447074
RS0 0 coal-2025,2365.546269871657
SI0 0 coal-2025,7549.844690969462
AT0 0 coal-1990,2133.333333333333
DE0 0 coal-1990,9193.636363636364
DK0 0 coal-1990,1896.9696969696968
DK1 0 coal-1990,1603.030303030303
GR0 0 coal-1990,1818.181818181818
PL0 0 coal-1990,1351.5151515151515
PT0 0 coal-1990,3575.7575757575755
RO0 0 coal-1990,4563.636363636363
SI0 0 coal-1990,745.4545454545454
CZ0 0 coal-1995,536.3636363636364
DE0 0 coal-1995,4761.818181818182
DK0 0 coal-1995,2454.5454545454545
GR0 0 coal-1995,1878.7878787878788
PL0 0 coal-1995,2198.7878787878785
PT0 0 coal-1995,1745.4545454545453
DE0 0 coal-2000,413.3333333333333
PL0 0 coal-2000,8187.878787878787
CZ0 0 coal-2005,193.93939393939394
DE0 0 coal-2005,4212.121212121212
DK0 0 coal-2005,145.283532611845
GR0 0 coal-2005,1000.0
IE4 0 coal-2005,2590.909090909091
IT6 0 coal-2005,1634.4397418832561
NL0 0 coal-2005,8918.181818181818
PL0 0 coal-2005,469.6969696969697
SK0 0 coal-2005,1333.3333333333333
BG0 0 coal-2010,400.0
CZ0 0 coal-2010,1441.6596697636926
DE0 0 coal-2010,68.48484848484848
PL0 0 coal-2010,5424.242424242424
DE0 0 coal-2015,7523.333333333332
NL0 0 coal-2015,4787.878787878788
CZ0 0 coal-2019,2272.7272727272725
NL0 0 coal-2019,3236.363636363636
PL0 0 coal-2019,12169.69696969697
