name,p_nom_opt
AL0 0 coal-2030,0.00031059346152798723
AT0 0 coal-2030,0.0003119727422262094
BA0 0 coal-2030,0.000310677873477416
BE0 0 coal-2030,0.00031613514795487166
BG0 0 coal-2030,0.0003099420337413106
CH0 0 coal-2030,0.0003102165006949783
CZ0 0 coal-2030,0.000316360846602549
DE0 0 coal-2030,0.0003136325421307542
DK0 0 coal-2030,0.0003110000762708536
DK1 0 coal-2030,0.00031038285874888824
EE2 0 coal-2030,0.0003098344736279677
ES0 0 coal-2030,0.00030767720599945796
ES3 0 coal-2030,0.0003084136688413084
FI1 0 coal-2030,0.00030828775388422807
FR0 0 coal-2030,0.0003097716431928172
GB4 0 coal-2030,0.00031205796668765177
GB5 0 coal-2030,0.00035184280590664746
GR0 0 coal-2030,0.0003083658979218328
HR0 0 coal-2030,0.00031119450032005615
HU0 0 coal-2030,0.00030964578680103003
IE4 0 coal-2030,0.0003125757014632417
IT0 0 coal-2030,0.0003097999297393096
IT6 0 coal-2030,0.00030918203506467216
LT2 0 coal-2030,0.0003107353675273059
LU0 0 coal-2030,0.0003241214805772299
LV2 0 coal-2030,0.00031040754819474346
ME0 0 coal-2030,0.0003108053531057853
MK0 0 coal-2030,0.00031004856510463306
NL0 0 coal-2030,0.00030986976488169617
NO1 0 coal-2030,0.00030696375202315246
PL0 0 coal-2030,0.0003160187580828574
PT0 0 coal-2030,0.00030716490776556965
RO0 0 coal-2030,0.0003102416058204532
RS0 0 coal-2030,0.0003098189654104066
SE1 0 coal-2030,0.00030737037043092054
SI0 0 coal-2030,0.00031199015463917473
SK0 0 coal-2030,0.00032041220625502663
AT0 0 coal-1990,2133.333333333333
DE0 0 coal-1990,9193.636363636364
DK0 0 coal-1990,1896.9696969696968
DK1 0 coal-1990,1603.030303030303
GR0 0 coal-1990,1818.181818181818
PL0 0 coal-1990,1351.5151515151515
PT0 0 coal-1990,3575.7575757575755
RO0 0 coal-1990,4563.636363636363
SI0 0 coal-1990,745.4545454545454
CZ0 0 coal-1995,536.3636363636364
DE0 0 coal-1995,4761.818181818182
DK0 0 coal-1995,2454.5454545454545
GR0 0 coal-1995,1878.7878787878788
PL0 0 coal-1995,2198.7878787878785
PT0 0 coal-1995,1745.4545454545453
DE0 0 coal-2000,413.3333333333333
PL0 0 coal-2000,8187.878787878787
CZ0 0 coal-2005,193.93939393939394
DE0 0 coal-2005,4212.121212121212
DK0 0 coal-2005,145.283532611845
GR0 0 coal-2005,1000.0
IE4 0 coal-2005,2590.909090909091
IT6 0 coal-2005,1634.4397418832561
NL0 0 coal-2005,8918.181818181818
PL0 0 coal-2005,469.6969696969697
SK0 0 coal-2005,1333.3333333333333
BG0 0 coal-2010,400.0
CZ0 0 coal-2010,1441.6596697636926
DE0 0 coal-2010,68.48484848484848
PL0 0 coal-2010,5424.242424242424
DE0 0 coal-2015,7523.333333333332
NL0 0 coal-2015,4787.878787878788
CZ0 0 coal-2019,2272.7272727272725
NL0 0 coal-2019,3236.363636363636
PL0 0 coal-2019,12169.69696969697
