,imp
Russia,38.10603956131037
Norway,18.613260472020528
Algeria,7.2386420847523265
Not specified,6.847736045710253
Netherlands,5.726896241078396
Qatar,4.090268648173781
United States,3.9147669823282385
United Kingdom,3.7833121678518875
Germany,2.9482502980109113
Nigeria,2.861032055369619
Other Europe,3.1179113194619057
Other non-Europe,2.7518841239317995
