,name,Generation,p_nom_opt,load_corr,week_corr,cool_corr,week_cool,heat_corr,week_heat,country,carrier,total_gen,fraction,latitude,FullName,avgCDD,avgHDD,year_CF,solarfrac,solarcf
0,FRsolar,291436526.0626356,900277.9468265855,0.0704748319938724,-0.7188447388703559,0.4545114448831642,0.6231102156517431,-0.3906020693652092,-0.7198076544612607,FR,solar,391893307.2735119,0.7436629323685667,46.227638,France,0.6768334966712878,-7.819790993137541,0.110862461782295,0.7436629323685667,0.110862461782295
1,FRwind,91786860.25202312,141990.0031450019,0.1535891195195071,0.3807079153202997,-0.3201315829738452,-0.4696557595399142,0.2494035532352763,0.3937469818945962,FR,wind,391893307.2735119,0.23421390094820585,46.227638,France,0.6768334966712878,-7.819790993137541,0.22138077015599625,0.7436629323685667,0.110862461782295
2,FRror,8669920.958853202,5780.848516865661,-0.0555609896166384,-0.0676205109700854,-0.1198457779910351,-0.1696412306849726,-0.004454162169949,-0.0148902318264948,FR,ror,391893307.2735119,0.022123166683227516,46.227638,France,0.6768334966712878,-7.819790993137541,0.5136185465928358,0.7436629323685667,0.110862461782295
3,DEsolar,237330563.39853087,849794.3612345196,-0.0211950580981603,-0.7610190138443811,0.419515559887194,0.5794525320789343,-0.4016540363710306,-0.7604685948957166,DE,solar,389207222.33240986,0.6097794433933555,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.0956438332762083,0.6097794433933555,0.0956438332762083
4,DEwind,145415827.62009057,180442.0779311569,0.1525544636405558,0.3853115155043131,-0.2877275439400555,-0.4724274665604157,0.2665782499506229,0.4057883519991195,DE,wind,389207222.33240986,0.37362057864356746,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.2759885140803153,0.6097794433933555,0.0956438332762083
5,DEror,6460831.313788443,2997.0294099999983,0.2037659404208565,0.2328969499359587,-0.0512810170422503,-0.0694663341081478,0.2258551937321883,0.2323125692325601,DE,ror,389207222.33240986,0.016599977963077075,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.7382688525656411,0.6097794433933555,0.0956438332762083
6,GBsolar,204169762.51250952,670323.3856121284,0.0606066047827796,-0.6338786724643649,0.3447065637130598,0.4631305547834262,-0.41358933710628,-0.613857208893275,GB,solar,632923360.3878553,0.32258212493119914,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.10430958108604418,0.32258212493119914,0.10430958108604418
7,GBwind,427854017.8220491,412231.11464507255,0.1743819421758017,0.4005544317438842,-0.1753621563875564,-0.3997960582084409,0.2699746648208883,0.4347207520819184,GB,wind,632923360.3878553,0.6759965654607222,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.355444660443334,0.32258212493119914,0.10430958108604418
8,GBror,899580.0532966442,685.2,0.6605514195244386,0.8111496744843004,-0.1575518579661419,-0.2810739661128564,0.7343121591844892,0.7762054845113169,GB,ror,632923360.3878553,0.001421309608078586,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.4496137780473275,0.32258212493119914,0.10430958108604418
9,ITsolar,298635901.7056377,771080.6766666747,0.1634283582038717,-0.7452448070790243,0.4444178213376303,0.6244568497544094,-0.3441494686706417,-0.7330954852327718,IT,solar,309755605.82648,0.9641016856138147,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.13263536770158735,0.9641016856138147,0.13263536770158735
10,ITwind,1312663.2774543636,2615.0831073175736,0.2446062498771136,0.4910557043019645,-0.2780057134605063,-0.5175886854747449,0.2714389121811103,0.5041987841744541,IT,wind,309755605.82648,0.004237738567965405,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.1719036068293094,0.9641016856138147,0.13263536770158735
11,ITror,9807040.84338788,6563.709999999999,-0.2855293859020713,-0.3463222940808413,-0.1454030762974011,-0.1698690785864644,-0.2199607003445221,-0.240257015306482,IT,ror,309755605.82648,0.03166057581821981,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.511688607707717,0.9641016856138147,0.13263536770158735
12,ESsolar,502104627.98381245,1083113.8713124292,0.3481578184253545,-0.694050948620603,0.4172064026705849,0.63415263884214,-0.3142814715500872,-0.6795679953739123,ES,solar,502551679.4497574,0.9991104368282394,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.1587585980337638,0.9991104368282394,0.1587585980337638
13,ESwind,425756.08198313287,733.1315838213011,0.2485275470270493,0.6299905863304281,-0.3153275121758457,-0.5725711463621725,0.3691640885490763,0.6264923764870153,ES,wind,502551679.4497574,0.0008471886561980893,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.19888227517288887,0.9991104368282394,0.1587585980337638
14,ESror,21295.383961768744,16.4,0.1289642707705117,0.195314663905309,-0.4331868509646815,-0.5008940202526619,0.2907399542638547,0.295493574177175,ES,ror,502551679.4497574,4.2374515562429335e-05,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.4446914459106404,0.9991104368282394,0.1587585980337638
15,PLsolar,66433484.44316528,233914.7647055933,-0.1157838343094072,-0.820785817526154,0.4832248157286226,0.6511856871959881,-0.4379573599894481,-0.8215434570329642,PL,solar,128900921.20158944,0.5153840936425061,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.09726275009227686,0.5153840936425061,0.09726275009227686
16,PLwind,62436367.69105698,91228.63360109631,0.2187798509087851,0.48849187601648,-0.2757550226885488,-0.4727029129170586,0.3009635449751023,0.4979626137242052,PL,wind,128900921.20158944,0.48437487574981813,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.234381650347987,0.5153840936425061,0.09726275009227686
