name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
LT2 0 coal-2030,EU coal,LT2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1652566354960319,2030.0,0.000482153305080862,,,0.0,inf,0.0,1.0,1.0
LU0 0 coal-2030,EU coal,LU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165403427561978,2030.0,0.0005226770007601023,,,0.0,inf,0.0,1.0,1.0
LV2 0 coal-2030,EU coal,LV2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656407858774507,2030.0,0.00047711872657652785,,,0.0,inf,0.0,1.0,1.0
ME0 0 coal-2030,EU coal,ME0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164619870212592,2030.0,0.0004993488935507893,,,0.0,inf,0.0,1.0,1.0
MK0 0 coal-2030,EU coal,MK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651736240746662,2030.0,0.0004889305246001252,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2030,EU coal,NL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654262008836536,2030.0,0.00046562802429658785,,,0.0,inf,0.0,1.0,1.0
NO1 0 coal-2030,EU coal,NO1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1645736743227675,2030.0,0.00043647141428160513,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2030,EU coal,PL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643490206702347,2030.0,0.0004917279677803381,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-2030,EU coal,PT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165748284525612,2030.0,0.00041329154751608535,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-2030,EU coal,RO0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1646468440433273,2030.0,0.0005099953580666076,,,0.0,inf,0.0,1.0,1.0
RS0 0 coal-2030,EU coal,RS0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655212274383882,2030.0,0.0005034675255311275,,,0.0,inf,0.0,1.0,1.0
SE1 0 coal-2030,EU coal,SE1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1644474365160324,2030.0,0.00044987551132128617,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-2030,EU coal,SI0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1642410302881794,2030.0,0.00047755973919441283,,,0.0,inf,0.0,1.0,1.0
SK0 0 coal-2030,EU coal,SK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647728952816383,2030.0,0.0004848281173043486,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-1990,EU coal,AT0 0,coal,,0.0,2133.333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184986782126108,1990.0,2133.333333333333,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1990,EU coal,DE0 0,coal,,0.0,9193.636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1844808414543244,1990.0,9193.636363636364,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1990,EU coal,DK0 0,coal,,0.0,1896.9696969696968,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1850941190617221,1990.0,1896.9696969696968,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-1990,EU coal,DK1 0,coal,,0.0,1603.030303030303,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1853519598326085,1990.0,1603.030303030303,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1990,EU coal,GR0 0,coal,,0.0,1818.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.183917485061086,1990.0,1818.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1990,EU coal,PL0 0,coal,,0.0,1351.5151515151515,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184636496903992,1990.0,1351.5151515151515,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1990,EU coal,PT0 0,coal,,0.0,3575.7575757575755,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184268875115234,1990.0,3575.7575757575755,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-1990,EU coal,RO0 0,coal,,0.0,4563.636363636363,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1841155667768641,1990.0,4563.636363636363,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-1990,EU coal,SI0 0,coal,,0.0,745.4545454545454,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.185352438756618,1990.0,745.4545454545454,,,0.0,inf,0.0,1.0,1.0
