,name,Generation,p_nom_opt,load_corr,week_corr,cool_corr,week_cool,heat_corr,week_heat,country,carrier,total_gen,fraction,latitude,FullName,avgCDD,avgHDD,year_CF,solarfrac,solarcf
0,FRsolar,93188740.53706788,304073.6021120786,0.1643715609926505,-0.6645983629950825,0.4152331597022843,0.5817530993589332,-0.3689086989371477,-0.6839727143679271,FR,solar,157097292.63350686,0.5931912573087329,46.227638,France,0.6768334966712878,-7.819790993137541,0.1049546952351316,0.5931912573087329,0.1049546952351316
1,FRwind,55238501.732072204,100657.72370859796,0.1807723801553858,0.5302307953503237,-0.3133629893747813,-0.4677132659497015,0.3096501297323335,0.4748422702181613,FR,wind,157097292.63350686,0.35161969252352687,46.227638,France,0.6768334966712878,-7.819790993137541,0.18793684594426693,0.5931912573087329,0.1049546952351316
2,FRror,8670050.364366794,5780.848516865661,-0.1271999714711016,-0.1641236687178907,-0.1196689485401482,-0.1695509055834243,-0.0045261969060414,-0.0149395510425227,FR,ror,157097292.63350686,0.05518905016774033,46.227638,France,0.6768334966712878,-7.819790993137541,0.5136262127609736,0.5931912573087329,0.1049546952351316
3,DEsolar,17978146.19838307,57375.58575255903,0.4528109620394552,-0.1090684602303521,0.5016303712167977,0.6409837796803711,-0.4116479018411997,-0.7593224042840182,DE,solar,99611148.73223148,0.1804832734808712,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.10730869763248202,0.1804832734808712,0.10730869763248202
4,DEwind,75171607.42758343,59898.219821702485,-0.0815444766714144,0.0689542630836538,-0.2610595540719805,-0.5140929505346125,0.2863335798591779,0.4859858238785758,DE,wind,99611148.73223148,0.75465054247748,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.4297907558932563,0.1804832734808712,0.10730869763248202
5,DEror,6461395.106264992,2997.0294099999983,-0.1160503875467216,-0.4224436031084874,-0.050798802102842,-0.0691676157326764,0.2255238585721124,0.2320642658765785,DE,ror,99611148.73223148,0.06486618404164893,51.165691,Germany,0.5158714717556881,-9.609247001429486,0.7383332762294905,0.1804832734808712,0.10730869763248202
6,GBsolar,39091201.39542325,127587.5152000752,0.3432645848413491,-0.6261019980464853,0.3528197412396553,0.4731368282570665,-0.4136295132355491,-0.6159125139129413,GB,solar,130511310.81925188,0.29952347539870744,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.10492717659063523,0.29952347539870744,0.10492717659063523
7,GBwind,90520154.73191448,90933.6463833518,0.0078800765362081,0.2422181330265275,-0.170607940188997,-0.4176746777928046,0.2595452221498623,0.435482143996437,GB,wind,130511310.81925188,0.6935809177281035,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.34090850002532375,0.29952347539870744,0.10492717659063523
8,GBror,899954.691914156,685.2,0.1140036498717751,0.4479592983777556,-0.1568593076526766,-0.2808232292207868,0.7339178443989306,0.7761324917593493,GB,ror,130511310.81925188,0.006895606873189129,55.378051,United Kingdom,0.0743014324010359,-8.932760918503591,0.4498010239556873,0.29952347539870744,0.10492717659063523
9,ITsolar,112035600.9984292,341621.7576150635,0.5325478200264514,0.3390325177013521,0.4105411514640192,0.6485767729852823,-0.314054684729466,-0.7043565155476045,IT,solar,127124408.17544116,0.8813067656040665,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.11231239126620414,0.8813067656040665,0.11231239126620414
10,ITwind,5281349.202482558,16890.982935920445,-0.1069112738182113,-0.109971575847047,-0.3365796866766214,-0.5318409447857425,0.421048422070215,0.6682525469723439,IT,wind,127124408.17544116,0.041544729908940085,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.10707969101552718,0.8813067656040665,0.11231239126620414
11,ITror,9807457.97452942,6563.709999999999,-0.083335456222089,-0.227780030799415,-0.145166051891304,-0.1697319540844853,-0.2200969584810966,-0.240367111926463,IT,ror,127124408.17544116,0.07714850448699352,41.87194,Italy,1.3968435466965434,-5.145539920667255,0.5117103717909358,0.8813067656040665,0.11231239126620414
12,ESsolar,70961681.96701676,157863.93780215178,0.4685071121586482,0.6675517615367768,0.431667037474381,0.6957717890917436,-0.3186528801608672,-0.7137596286268506,ES,solar,71403424.23652707,0.9938134301788242,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.1539423519865097,0.9938134301788242,0.1539423519865097
13,ESwind,420271.2930405688,792.2457864963333,-0.1862805904831109,-0.5360283009482778,-0.3156395215752705,-0.5611063614201367,0.3788244171470319,0.6207443741804094,ES,wind,71403424.23652707,0.005885870286114027,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.18167155631134374,0.9938134301788242,0.1539423519865097
14,ESror,21470.97646974606,16.4,-0.2016738925056105,-0.4130047369747424,-0.4261315543170089,-0.4991780567994708,0.2849799368788571,0.2938099373998163,ES,ror,71403424.23652707,0.00030069953506182674,40.463667,Spain,1.9006454479177337,-4.026678331488879,0.44835817887040724,0.9938134301788242,0.1539423519865097
15,PLsolar,12112319.239795104,39865.80277924081,0.3870330504478143,0.136139072652613,0.520980535326194,0.6837181574615977,-0.4353271839620218,-0.8136181651203341,PL,solar,31278939.91860824,0.387235605532441,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.10405044536909235,0.387235605532441,0.10405044536909235
16,PLwind,19135163.922297124,27509.989784283986,-0.0073248438960326,-0.0353747339004939,-0.2625598105609156,-0.4761906144382611,0.2908984009563785,0.4963003861019497,PL,wind,31278939.91860824,0.6117587096010684,51.919438,Poland,0.5977064999136026,-10.042596943733107,0.23820940614443673,0.387235605532441,0.10405044536909235
