,consumption [TWh]
Industry (Energy),918.9728464476942
Industry (Feedstock),153.4244829556464
Power (Electricity),456.00698643128385
Power (CHP),595.6125849868301
Residential,1474.2476757939185
  Services,327.7056688276622
Transport,21.111857834902114
District heating plants,101.33802298946408
