name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
AL0 0 coal-2025,EU coal,AL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1642840219860633,2025.0,0.0010779418307286209,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-2025,EU coal,AT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657529984365407,2025.0,0.0011049978173890828,,,0.0,inf,0.0,1.0,1.0
BA0 0 coal-2025,EU coal,BA0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647578554596127,2025.0,0.001057786285137539,,,0.0,inf,0.0,1.0,1.0
BE0 0 coal-2025,EU coal,BE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165664489327855,2025.0,0.0011222197935310057,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2025,EU coal,BG0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1657829564772189,2025.0,0.0009839191453005283,,,0.0,inf,0.0,1.0,1.0
CH0 0 coal-2025,EU coal,CH0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1659596151108684,2025.0,0.0010519840989156796,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2025,EU coal,CZ0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654649538927304,2025.0,0.00108526717668699,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2025,EU coal,DE0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1650032348332977,2025.0,0.0010939419485356309,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2025,EU coal,DK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643386594738023,2025.0,0.0009938583784060487,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-2025,EU coal,DK1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651048880483594,2025.0,0.0009457998175270843,,,0.0,inf,0.0,1.0,1.0
EE2 0 coal-2025,EU coal,EE2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164442441947577,2025.0,0.0010014166428702158,,,0.0,inf,0.0,1.0,1.0
ES0 0 coal-2025,EU coal,ES0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643623335198185,2025.0,0.0009288778576215213,,,0.0,inf,0.0,1.0,1.0
ES3 0 coal-2025,EU coal,ES3 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1649429487541534,2025.0,0.0008267450704915978,,,0.0,inf,0.0,1.0,1.0
FI1 0 coal-2025,EU coal,FI1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655124854763472,2025.0,0.0009691745602447791,,,0.0,inf,0.0,1.0,1.0
FR0 0 coal-2025,EU coal,FR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643201375382453,2025.0,0.0011567737327345888,,,0.0,inf,0.0,1.0,1.0
GB4 0 coal-2025,EU coal,GB4 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655385598005266,2025.0,0.0007999348874322893,,,0.0,inf,0.0,1.0,1.0
GB5 0 coal-2025,EU coal,GB5 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647850068864347,2025.0,0.0010482314907421034,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-2025,EU coal,GR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165969348963186,2025.0,0.0009493026917880211,,,0.0,inf,0.0,1.0,1.0
HR0 0 coal-2025,EU coal,HR0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655817845025103,2025.0,0.0010403211756627741,,,0.0,inf,0.0,1.0,1.0
HU0 0 coal-2025,EU coal,HU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1641284918764,2025.0,0.0010526116688665782,,,0.0,inf,0.0,1.0,1.0
IE4 0 coal-2025,EU coal,IE4 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1653327362590369,2025.0,0.0009272078704868691,,,0.0,inf,0.0,1.0,1.0
IT0 0 coal-2025,EU coal,IT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1648797798468302,2025.0,0.0009772245337511334,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-2025,EU coal,IT6 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651060613177016,2025.0,0.0008679172162720807,,,0.0,inf,0.0,1.0,1.0
LT2 0 coal-2025,EU coal,LT2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1652566354960319,2025.0,0.0010301702817029181,,,0.0,inf,0.0,1.0,1.0
LU0 0 coal-2025,EU coal,LU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165403427561978,2025.0,0.0011640181082932762,,,0.0,inf,0.0,1.0,1.0
LV2 0 coal-2025,EU coal,LV2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656407858774507,2025.0,0.001029984767011316,,,0.0,inf,0.0,1.0,1.0
ME0 0 coal-2025,EU coal,ME0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164619870212592,2025.0,0.001065898030687713,,,0.0,inf,0.0,1.0,1.0
MK0 0 coal-2025,EU coal,MK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651736240746662,2025.0,0.0009775825342306674,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2025,EU coal,NL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654262008836536,2025.0,0.0010183817023514301,,,0.0,inf,0.0,1.0,1.0
