name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
LT2 0 coal-2025,EU coal,LT2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1652566354960319,2025.0,0.004426913632318346,,,0.0,inf,0.0,1.0,1.0
LU0 0 coal-2025,EU coal,LU0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165403427561978,2025.0,0.05652017175547271,,,0.0,inf,0.0,1.0,1.0
LV2 0 coal-2025,EU coal,LV2 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1656407858774507,2025.0,0.003550376204951751,,,0.0,inf,0.0,1.0,1.0
ME0 0 coal-2025,EU coal,ME0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.164619870212592,2025.0,198.91414166610653,,,0.0,inf,0.0,1.0,1.0
MK0 0 coal-2025,EU coal,MK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1651736240746662,2025.0,0.01288234974206449,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2025,EU coal,NL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1654262008836536,2025.0,0.004763508127668421,,,0.0,inf,0.0,1.0,1.0
NO1 0 coal-2025,EU coal,NO1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1645736743227675,2025.0,0.0015593677888001535,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2025,EU coal,PL0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1643490206702347,2025.0,0.0034824645189937167,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-2025,EU coal,PT0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.165748284525612,2025.0,0.01613804871145824,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-2025,EU coal,RO0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1646468440433273,2025.0,0.015838660151007315,,,0.0,inf,0.0,1.0,1.0
