FR
41.88
38.6
36.55
32.32
30.85
30.14
30.17
30
30.65
30.65
30.27
30.34
30.99
30.04
30.75
32.11
35.98
40.4
44.05
46.16
44.02
40.68
40.66
36.69
35.4
31.98
30.5
28.79
28.42
28.75
34.16
42.07
44.89
45.26
45.57
45.09
45.16
44.9
44.06
43.94
44.37
46.05
46.72
46.11
43.7
34.76
33.02
33.39
32.05
30.75
29.03
24.96
22.56
26.16
31.21
36.73
40.7
44.18
44.05
41.92
41.6
39.23
39.04
38.41
38.91
43.51
45.2
45.15
39.35
32.34
39.15
37.85
34.81
32.05
30.14
28.55
26.24
27.55
27.16
28.79
31.83
36.67
39.57
36.11
34.77
32.07
31.83
31.95
32.25
41.81
44.24
44
39.53
34.46
39.75
37.95
33.1
32.28
31.18
30.1
29.96
29.88
30.38
31.15
32.09
34.27
37.53
38.99
38.15
35.37
34.44
36.1
40.59
44.68
46.16
45.64
42.68
37.26
37.57
35.54
29.16
29
29.08
27.72
27.03
28.98
33.18
43.13
44.52
44.96
44
42.46
41.3
40.51
41.22
43.28
43.68
47.9
48.91
49.01
47.03
40.41
38.26
35.91
32.1
31.07
29.99
29.05
29.65
31.79
40.87
49.01
51.09
51.12
49.83
49.16
48.43
47.99
47.24
45.48
45.9
47.96
48.11
49.05
47.34
35.31
35.21
34.52
28.9
27.28
26.16
20.86
20.35
28.52
33.05
41.17
44.5
43.9
43.74
43.76
44.5
44.95
46.04
46.33
47.9
53.53
55.92
54.94
48.1
44.92
41.67
39.41
34.08
32.2
32.56
30.42
28.8
28.87
34.99
46.16
47.51
45.68
43.61
40.17
37.67
34.04
32.9
32.54
33.21
42.85
44.23
41.6
33.89
31.34
31.3
30.12
27.81
27.62
27.54
26.47
26.7
28.2
32
43.66
47.4
47.92
46.87
44.2
41.6
38.01
36.21
36.27
40.62
47.3
49.97
47.36
45.21
41.56
39.9
33.12
35.01
34
31.43
29.14
28.86
28.43
29.32
31.32
35.68
40
38.08
37.9
38.6
33.06
31.59
32.51
33.71
41.05
44.62
44.65
40.15
29.38
36.08
39.13
25.26
23.53
24.15
20.65
20.57
21.04
20.64
29.6
28.8
27.47
30.25
28.93
33.53
26.72
24.31
25.33
27.36
33.73
38.91
40.87
38.11
30.38
35.17
37.81
30.22
26.98
25.65
25.03
25.12
27.74
38.4
48.64
52.93
49.89
48.89
47.2
47
45.95
45
42.97
43.68
46.81
45.27
42.57
34.03
29.23
28.67
26.76
24.38
19.53
15.35
9.38
8.66
17.29
28.44
36.73
39.06
39.11
38.86
39.06
37.75
35.46
35.82
32.99
32.69
38.77
39.37
39.25
32.56
31.1
32.13
29.55
24.95
19.36
16.01
11.09
10.52
19.15
30.02
38.53
41.64
39.54
35.24
34.06
32
31.27
33.47
34.46
36.54
43.32
44.14
44.25
38.02
33.4
35.42
32.39
31.17
31.18
30.8
29.9
29.72
31.1
38.7
45.42
52.4
47
43.51
42.1
40.36
40.08
36.81
32.49
32.87
40.84
43.15
40.45
35.39
31.14
32.17
32.68
27.6
27.42
26.86
25.71
26.01
27.97
31.09
40.25
43.8
43.19
43.68
42.72
41.37
39.98
39.02
39.11
41.37
43.98
46
44.66
40.99
33.9
33.38
33
32.87
29.73
31.3
26.45
26.52
27.05
32.45
33.21
37.74
38.92
40
39.3
39.59
37.86
35.69
35.69
37.41
41.3
43.04
41.91
39.81
35.13
37.92
35.69
33.33
30.98
29.9
28.79
27.71
27.26
27.82
30.03
31.79
35.2
35.2
34.47
33.36
29.9
28.51
29.12
29.14
33.55
44.24
43.89
41.14
36.74
40
36.15
34.24
34.01
33.08
32.1
31.5
34.12
45.63
52.77
59.32
57.01
50.63
48.17
43.96
43.02
43.11
44.7
46
55.91
57.05
54.02
48.68
44.35
41.74
39.61
35.38
34.92
35.62
34.34
34.76
36.46
42.39
50.91
60.07
58.68
53.63
52
47.32
45.63
45.97
47.71
49.98
57.62
62.05
57.6
49.95
46.03
43.4
42.08
38.7
36.67
35.76
33.85
33.7
35.04
40.55
49.26
58.76
60.89
54.94
53.32
50.77
49.97
50
52.4
55.63
62.07
65.09
59.58
52.52
47.01
43.99
41.2
40.01
39.06
38
36.24
36.51
41.62
47
58.74
66.62
64.86
61.68
57.42
55.36
53.68
51.2
53.54
54.75
62.35
68.64
60.4
55.53
47.16
43.9
42.6
37.14
40.82
39.01
36.92
36.38
36.66
46.09
58.29
66.74
65
61.12
58.84
56.61
53.29
52
53.06
54.01
60.79
65.1
59.97
52.15
45.1
44.59
42.51
42
40.48
37.01
35.14
32.87
32.84
34.12
37.1
42.42
44.97
45.96
44.89
43.67
41.14
39.61
41.29
43.27
46.25
49.99
45.84
43.01
38.25
40.57
36.58
34.43
34.19
32.4
29.84
29.33
28.74
29.42
29.6
31.37
35.65
40.12
41.35
41.86
38.23
36.03
34.56
33.43
39.99
42
44.42
32.63
29.12
33.05
30.6
28.48
28.14
27.13
23.56
21.31
26.91
29.92
42.2
45.73
45.5
44.68
43.19
42.91
43.54
43.81
45.13
43.15
47.08
51.21
47.12
43.72
40.25
36.53
33.01
27.79
26.84
25.64
24.99
25
26.32
31.3
41.94
44.94
44.33
42.9
41.85
40.43
37.97
32.32
30.92
32.1
40.48
43.33
43.86
38.34
28.78
31.98
30.69
28.79
28.74
27.72
21.66
21.55
27.23
31.02
42.03
44.72
43.71
42.73
42.71
39.35
37.18
37.85
37.94
39.02
42.79
45.01
45.1
41.02
33.63
33.69
33.41
30.48
27.65
26.9
26.2
25.9
27.01
33.15
44.27
45.17
45.29
44.1
43.04
41.62
40.08
37.53
35.51
37.38
39.7
43.01
41.1
31.67
29.4
30.43
29.28
23.61
17.42
18.72
16.38
15.36
19.32
25.5
37.94
40.22
40.56
38.06
37.95
35.67
31.61
29
30.07
28.1
33.78
37.16
35.2
29.36
26.98
28.74
24.12
14.71
11.62
10.77
4.59
0.53
2.53
7.69
12.27
21.9
25.33
22.09
24.09
26.35
24.61
15.56
13.5
14.48
19.93
28.36
31.12
26.54
13.3
17.24
28.56
23.14
17.22
19.5
14.71
7.68
8.17
9.91
12.48
20.02
25.51
26.97
29.23
28.03
24.55
18.6
12.14
18.83
15.07
31.57
36.93
27.05
21.99
23.87
17.38
15.92
15.55
14.38
9.23
6.95
6.69
24.32
36.49
39.97
39.26
35.52
32.97
29.08
28.38
28.73
28.29
24.9
33.08
37.99
36.57
31
27.16
27.13
24.76
20.79
17.41
16.24
11.9
9.77
15.88
24.88
29.7
35.01
33.95
29.9
29.03
27.07
26.43
27.53
29.05
31.42
39.92
41.3
41.51
39.75
30.13
30.36
32.4
25.44
25
24.43
23.63
24.83
26.62
37.54
44.91
49.16
44.78
41.37
40
37.07
35.16
35.17
37.13
40.25
42.19
45.83
45.66
42.59
38.05
37.5
32.76
28.9
26.35
24.9
24.46
25.25
28
33
43.15
44.88
45.02
42.38
40.81
39.25
38.01
37.94
38.06
39.09
42.51
46.83
47.21
43.63
37.98
37.66
33.58
33.32
32.18
31.04
28.62
