cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,cumulative cost,25582820258208.184,21979671005345.9,19048401634860.832,16647449642707.893,14667622574129.088,13024230874976.285,11651228253684.05,10496825939626.486,9520194161564.63,8688969361408.496
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,cumulative cost,19408130948196.035,16821172651263.438,14715947251221.691,12989969556941.656,11564491144718.764,10378655056073.277,9385160866433.934,8547033981080.225,7835206039960.284,7226693917263.454
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,cumulative cost,25601120123571.555,21998045301315.34,19066828603029.234,16665912915405.889,14686109817732.387,13042732787639.86,11669737821518.55,10515337882164.98,9538704516485.84,8707475172160.926
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,cumulative cost,19460295315184.504,16871751278467.287,14764885023768.393,13037263368283.99,11610172667440.408,10422778476575.104,9427794196399.271,8588252946742.659,7875089828266.276,7265322257815.494
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,cumulative cost,25644901579424.387,22040184458542.234,19107487614894.285,16705247299809.51,14724264135280.764,13079838692114.143,11705913563805.41,10550688670151.686,9573323346743.936,8741443890283.553
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,cumulative cost,19572554085797.344,16975669647816.441,14861558445050.188,13127614742984.62,11694982739019.783,10502710478503.807,9503413889047.855,8660044948790.545,7943470965487.129,7330652506407.6045
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,cumulative cost,25696621599770.18,22091297880405.43,19157830016995.39,16754741130759.533,14772887941245.72,13127606258969.953,11752859873034.527,10596860531013.732,9618773230251.193,8786225947628.592
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,cumulative cost,19752358733372.29,17141043857924.686,15014406384388.773,13269546482764.174,11827363762171.1,10626702527910.611,9620008660173.14,8770091889165.761,8047700231282.536,7429693943917.584
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c10,cumulative cost,25760283609525.63,22152593466833.793,19216873152164.688,16811676422628.697,14827872618579.81,13180798978785.816,11804414035140.867,10646920540303.475,9667472659716.24,8833686902123.291
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c10,cumulative cost,19912322288828.098,17286242138037.115,15147038365996.41,13391428674571.648,11940003451675.312,10731356048119.334,9717727890467.66,8861761489492.154,8134067557200.384,7511393163779.235
