cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,2040,620007704091.788,508123885454.94696,417247411159.91656,343283233164.3584,282963422691.7255,233674382972.43024,193321332841.6081,160221772628.31586,133021541489.5978,110628526312.9582
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,2045,606079672648.8844,472601802671.6026,369424270479.1688,289467027073.39044,227350668715.17877,178977007202.88776,141215733703.4392,111669681198.50502,88498484010.4945,70285747810.75345
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained,2050,717053654444.059,531998539515.0564,395864448455.22595,295416611493.44635,221081027603.66553,165910045114.6255,124846305645.20384,94197271429.47931,71258879473.73746,54045148600.21395
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2020,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788,705432197700.9788
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2025,698989943655.6791,665064947370.5532,633096727730.2255,602954865593.5806,574518782042.7946,547676910952.53827,522325948147.89087,498370169424.56714,475720810547.6249,454295503088.73773
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2030,868226247650.9596,785993895720.4531,712247926167.4501,646041867630.6959,586542543347.0625,533015600504.8855,484813001868.9075,441362198406.1473,402156744096.1248,366748149838.258
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2035,958754332498.9775,825822540787.4272,712368591487.0505,615387922932.8336,532362247659.24255,461177226800.8031,400054684780.64844,347496691629.12164,302239350420.4114,263214536544.73486
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2040,931428027927.396,763346689805.0693,626824361648.5087,515709115832.9912,425091593272.0761,351045427778.97485,290423661861.9458,240698702169.88568,199836213717.71826,166195531791.22745
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2045,890601379604.1475,694462851102.0416,542849034203.8022,425356178891.05786,334079541600.0765,262997055874.95532,207508901772.64612,164092571692.23584,130043747562.34793,103281114334.66573
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.2,2050,831696042907.9758,617054354866.2905,459155173769.28094,342647757619.8592,256427416108.1518,192435708465.22034,144806706908.5642,109257511505.70065,82651734236.41962,62685875667.17183
