,0
0,ES
1,DK
2,GB
3,IT
4,SE
5,NO
6,EE
7,LT
8,HR
9,RS
10,BA
11,CH
12,PT
13,AT
14,SI
15,BE
16,FR
17,DE
18,LU
19,GR
20,LV
21,BG
22,SK
23,AL
24,HU
25,CZ
26,NL
27,IE
28,FI
29,ME
30,MK
31,RO
32,PL
