cluster,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
oil,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
onwind,0.04,0.356,1.963,1.162,0.415,0.537,0.087,0.039,0.015,0.009,0.413,0.653,0.803,0.559,0.123,1.04,1.911,1.163,0.424,0.604,0.043,0.124,0.746,0.665,0.763,0.761,0.721,0.544,0.124,1.032,1.919,1.146,0.425,0.617,0.048,0.124,0.779,0.625,0.668,0.713,0.641,0.54,0.125,1.036,1.92,1.114,0.396,0.605,0.045,0.126,0.799,0.604,0.645,0.676,0.571,0.557,0.213,1.087,1.954,1.144,0.417,0.613,0.027,0.213,0.827,0.656,0.721,0.706,0.636,0.425,0.523,0.812,2.051,1.222,0.469,0.656,0.013,0.523,0.67,0.628,0.681,0.648,0.6,0.425,0.658,0.623,1.919,1.195,0.465,0.673,0.004,0.658,0.624,0.567,0.71,0.634,0.568,0.406
residential rural solar thermal,28.808,24.294,36.187,43.658,51.215,41.276,45.259,31.361,35.162,32.356,31.961,29.404,36.642,44.962,31.054,28.923,41.237,38.893,37.248,41.707,40.298,32.199,34.798,41.116,31.957,34.561,39.255,35.56,32.088,33.367,35.287,45.159,33.674,41.054,40.754,31.341,30.844,33.27,28.595,38.007,36.655,34.539,27.36,29.496,39.898,30.003,36.881,43.22,42.392,34.106,33.436,34.156,34.586,47.052,31.482,34.253,28.91,31.072,35.226,50.108,35.744,40.16,32.893,31.094,30.885,31.862,31.879,40.655,35.932,34.656,31.048,32.832,34.749,44.493,35.064,39.193,39.091,32.457,33.627,28.254,32.149,38.154,36.741,35.913,31.199,33.039,29.478,39.375,38.15,46.655,35.226,30.726,30.714,35.684,36.291,37.375,38.168,36.858
residential urban decentral solar thermal,26.728,21.472,31.6,38.413,44.267,37.549,39.225,27.869,30.546,28.673,27.381,23.904,29.088,33.272,27.819,25.756,34.749,34.749,31.426,39.368,36.076,29.511,30.569,36.766,28.009,29.696,33.771,26.133,29.295,29.877,30.717,39.298,27.911,39.319,35.951,28.763,27.74,28.277,23.537,27.94,32.026,26.351,22.488,27.68,35.57,25.412,32.558,40.552,38.418,30.403,28.84,30.504,31.506,37.56,26.39,25.202,23.368,29.105,31.51,44.19,30.437,38.281,27.385,27.357,27.537,28.663,27.454,31.595,31.452,25.587,28.572,27.455,31.213,38.342,29.699,35.908,34.354,30.556,27.834,24.045,28.623,29.744,31.127,28.465,29.315,29.92,25.169,33.368,32.65,44.425,29.79,28.447,27.315,33.929,32.484,29.328,33.857,27.506
ror,0.0,0.019,0.076,0.058,0.043,0.016,0.004,0.0,0.0,0.001,0.025,0.044,0.051,0.061,0.0,0.07,0.08,0.057,0.04,0.014,0.001,0.0,0.002,0.005,0.045,0.064,0.047,0.053,0.0,0.077,0.079,0.057,0.039,0.014,0.001,0.0,0.002,0.027,0.053,0.066,0.047,0.054,0.0,0.071,0.081,0.058,0.039,0.014,0.001,0.0,0.002,0.041,0.067,0.059,0.047,0.053,0.001,0.072,0.078,0.055,0.039,0.013,0.0,0.001,0.002,0.05,0.068,0.064,0.047,0.05,0.004,0.084,0.078,0.052,0.038,0.013,0.002,0.004,0.003,0.056,0.054,0.057,0.044,0.052,0.048,0.068,0.083,0.053,0.039,0.015,0.011,0.049,0.068,0.061,0.055,0.058,0.041,0.052
services rural solar thermal,29.64,24.732,36.562,44.012,50.824,40.496,44.643,32.135,34.693,31.572,31.4,29.271,36.881,45.089,31.894,29.334,41.278,39.21,36.611,41.632,40.427,33.039,35.181,41.201,31.827,34.329,39.076,35.714,32.976,34.005,35.4,45.799,33.403,41.029,40.804,32.037,31.17,33.04,28.182,37.545,36.67,34.876,28.31,29.889,39.778,30.176,36.462,42.74,42.329,34.93,33.636,34.263,34.047,46.984,31.561,34.391,29.559,31.477,35.419,50.632,35.518,39.943,32.962,31.879,31.433,31.8,31.819,40.329,36.065,34.92,31.54,33.398,35.028,45.436,34.257,38.313,39.008,32.851,33.858,27.79,32.239,37.66,36.663,36.15,31.382,33.096,29.538,39.265,38.143,46.463,35.079,30.878,31.073,35.172,35.905,37.19,38.092,36.915
services urban decentral solar thermal,24.298,16.285,23.871,27.913,35.43,29.568,29.339,20.708,22.16,19.761,18.024,18.901,26.069,26.509,25.572,22.327,23.039,22.631,23.757,33.632,33.723,26.806,23.894,25.541,20.824,25.859,28.227,24.012,25.679,22.248,25.979,27.213,20.007,35.026,30.177,25.058,22.391,25.638,16.604,23.003,29.808,22.8,19.045,22.105,24.572,18.626,26.472,30.512,33.337,26.925,24.326,26.435,22.555,32.198,23.431,21.673,15.947,26.661,27.933,30.368,26.214,31.196,25.084,24.745,24.027,26.596,24.512,25.389,28.836,24.222,25.174,21.625,23.455,26.586,24.443,29.474,31.604,25.89,20.971,21.494,27.647,25.259,26.364,25.942,25.745,20.937,22.14,23.443,29.23,38.663,27.636,25.172,21.723,27.6,23.731,27.187,28.661,25.797
solar,0.004,0.469,1.153,0.86,0.528,0.385,0.234,0.003,0.001,0.065,0.655,0.995,0.917,1.295,0.012,1.122,1.182,0.862,0.543,0.408,0.277,0.012,0.152,0.232,1.064,0.988,1.034,1.261,0.012,1.107,1.183,0.862,0.543,0.409,0.276,0.012,0.185,0.676,1.102,0.933,0.847,1.281,0.013,1.127,1.181,0.862,0.543,0.41,0.279,0.012,0.251,0.932,1.263,0.934,0.901,1.28,0.145,1.013,1.186,0.869,0.544,0.41,0.293,0.144,0.342,0.866,1.168,0.863,0.775,1.308,0.938,0.739,1.049,0.785,0.486,0.355,0.255,0.938,0.622,0.848,0.994,0.772,0.724,1.354,1.145,0.668,0.994,0.744,0.459,0.334,0.264,1.145,0.667,0.777,0.92,0.729,0.676,1.399
solar rooftop,0.014,0.008,0.03,0.018,0.004,0.001,0.0,0.012,0.011,0.006,0.012,0.016,0.016,0.039,0.009,0.011,0.027,0.017,0.004,0.0,0.0,0.014,0.006,0.005,0.014,0.014,0.015,0.038,0.008,0.044,0.018,0.017,0.003,0.0,0.0,0.01,0.007,0.012,0.015,0.017,0.013,0.039,0.012,0.013,0.03,0.018,0.004,0.001,0.0,0.013,0.008,0.014,0.018,0.015,0.015,0.04,0.019,0.013,0.018,0.018,0.004,0.0,0.0,0.012,0.009,0.01,0.016,0.015,0.014,0.037,0.048,0.125,0.03,0.017,0.003,0.0,0.0,0.04,0.012,0.015,0.018,0.015,0.012,0.037,0.098,0.011,0.022,0.016,0.004,0.0,0.001,0.097,0.012,0.017,0.017,0.01,0.011,0.035
uranium,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
urban central solar thermal,18.159,0.095,5.945,8.303,6.233,6.608,0.04,17.856,20.359,16.038,3.791,0.02,0.093,2.542,0.014,0.979,4.197,5.744,4.117,1.873,0.058,0.03,0.089,0.044,0.076,0.195,12.82,0.013,0.013,0.979,4.049,5.613,4.016,1.844,0.067,0.017,0.117,0.352,0.2,0.966,14.568,0.009,0.024,1.041,3.94,5.505,3.947,1.833,0.07,0.033,0.13,0.315,0.298,1.045,11.901,0.013,0.036,0.92,4.782,6.036,4.297,3.934,0.486,0.022,0.121,0.118,0.007,0.872,11.532,0.01,8.294,13.608,0.995,4.284,2.792,8.915,0.417,8.471,0.188,0.205,0.088,0.175,0.1,0.005,16.949,16.785,0.993,4.374,2.793,8.957,0.338,16.57,16.99,15.933,17.181,16.486,13.512,0.006
